geoid,geoid20,year,denom_renters,med_gross_rent,med_gross_rent_adj
1400000US06037143802,6037143802,2019,486,1864,1864
1400000US06037143901,6037143901,2019,160,2586,2586
1400000US06037143902,6037143902,2019,578,2043,2043
1400000US06037181000,6037181000,2019,642,1463,1463
1400000US06037181300,6037181300,2019,458,1801,1801
1400000US06037181400,6037181400,2019,1138,1636,1636
1400000US06037181500,6037181500,2019,393,2020,2020
1400000US06037181600,6037181600,2019,571,1500,1500
1400000US06037183101,6037183101,2019,650,1291,1291
1400000US06037183103,6037183103,2019,1223,1415,1415
1400000US06037183104,6037183104,2019,243,1372,1372
1400000US06037183220,6037183220,2019,662,1300,1300
1400000US06037183221,6037183221,2019,628,1287,1287
1400000US06037183222,6037183222,2019,531,1353,1353
1400000US06037183300,6037183300,2019,528,1398,1398
1400000US06037183401,6037183401,2019,398,1346,1346
1400000US06037183402,6037183402,2019,687,1409,1409
1400000US06037183510,6037183510,2019,190,1724,1724
1400000US06037183520,6037183520,2019,809,1182,1182
1400000US06037183610,6037183610,2019,667,1229,1229
1400000US06037183620,6037183620,2019,526,1208,1208
1400000US06037183701,6037183701,2019,837,1340,1340
1400000US06037183702,6037183702,2019,592,1369,1369
1400000US06037183810,6037183810,2019,1125,1199,1199
1400000US06037183820,6037183820,2019,883,1214,1214
1400000US06037185101,6037185101,2019,310,1333,1333
1400000US06037185102,6037185102,2019,556,1333,1333
1400000US06037185202,6037185202,2019,675,1588,1588
1400000US06037185203,6037185203,2019,623,1154,1154
1400000US06037185204,6037185204,2019,173,1974,1974
1400000US06037185310,6037185310,2019,537,1143,1143
1400000US06037185320,6037185320,2019,526,1147,1147
1400000US06037186100,6037186100,2019,646,1403,1403
1400000US06037186201,6037186201,2019,914,1324,1324
1400000US06037186202,6037186202,2019,331,1388,1388
1400000US06037186203,6037186203,2019,191,2260,2260
1400000US06037186301,6037186301,2019,642,1373,1373
1400000US06037186302,6037186302,2019,782,1394,1394
1400000US06037186401,6037186401,2019,879,1345,1345
1400000US06037186403,6037186403,2019,458,1207,1207
1400000US06037186404,6037186404,2019,524,1227,1227
1400000US06037187101,6037187101,2019,669,1595,1595
1400000US06037187102,6037187102,2019,863,1340,1340
1400000US06037187200,6037187200,2019,561,1440,1440
1400000US06037187300,6037187300,2019,839,2127,2127
1400000US06037188100,6037188100,2019,1243,1704,1704
1400000US06037188201,6037188201,2019,1560,1766,1766
1400000US06037188202,6037188202,2019,548,1726,1726
1400000US06037188300,6037188300,2019,692,1992,1992
1400000US06037189101,6037189101,2019,1073,1731,1731
1400000US06037189102,6037189102,2019,1532,1704,1704
1400000US06037189201,6037189201,2019,1825,1409,1409
1400000US06037189202,6037189202,2019,571,1921,1921
1400000US06037189300,6037189300,2019,147,1400,1400
1400000US06037189400,6037189400,2019,652,2266,2266
1400000US06037189501,6037189501,2019,1303,1656,1656
1400000US06037189502,6037189502,2019,947,1656,1656
1400000US06037189600,6037189600,2019,1316,1665,1665
1400000US06037189702,6037189702,2019,573,1653,1653
1400000US06037189703,6037189703,2019,565,2069,2069
1400000US06037189704,6037189704,2019,159,2079,2079
